label|disc|genus|model|atkin_lehner
text|integer|smallint|text|integer[]

21.2-[1]|21|3|[-9*X[1]^6-89*X[1]^4-179*X[1]^2-X[2]^2+21,-X[1]^2-X[3]^2-3]|[1]
21.2-[1,7]|21|0|[X[1]^2+3*X[2]^2+X[3]^2]|[1,7]
21.2-[1,21]|21|1|[-X[1]^3-X[1]^2*X[3]+X[1]*X[2]*X[3]+X[2]^2*X[3]+4*X[1]*X[3]^2+X[2]*X[3]^2-5*X[3]^3]|[1,21]
21.2-[1,2]|21|1|[X[2]^2-X[1]*X[3],7/81*X[1]^2+200/81*X[2]^2+112/81*X[3]^2+X[4]^2]|[1,2]
21.2-[1,42]|21|1|[-X[1]^3+X[1]*X[2]*X[3]+X[2]^2*X[3]-X[1]*X[3]^2]|[1,42]
21.2-[1,14]|21|2|[-15*X[1]^6-18*X[1]^5*X[3]-11*X[1]^4*X[3]^2+5*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]-11*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-18*X[1]*X[3]^5+X[2]^2-15*X[3]^6]|[1,14]
21.2-[1,3]|21|2|[4*X[1]^6-7*X[1]^4*X[3]^2-15*X[1]^3*X[3]^3-7*X[1]^2*X[3]^4+X[2]^2+4*X[3]^6]|[1,3]
21.2-[1,6]|21|2|[7*X[1]^5*X[3]+4*X[1]^4*X[3]^2+15*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+4*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2+7*X[1]*X[3]^5+X[2]^2]|[1,6]
22.3-[1,66]|22|0|[-X[2]^2+X[1]*X[3]]|[1,66]
22.3-[1,11]|22|1|[X[2]^2-X[1]*X[3],27*X[1]^2+200*X[2]^2+1584*X[3]^2+X[4]^2]|[1,11]
22.3-[1,33]|22|1|[X[2]^2-X[1]*X[3],27*X[1]^2+416*X[2]^2+2816*X[3]^2+X[4]^2]|[1,33]
22.3-[1,3]|22|1|[X[2]^2-X[1]*X[3],108*X[1]^2-1232*X[1]*X[2]+8584*X[2]^2-1232*X[2]*X[3]+108*X[3]^2+X[4]^2]|[1,3]
22.3-[1,22]|22|2|[11*X[1]^6-33*X[1]^5*X[3]+15*X[1]^4*X[3]^2+26*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]-7*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-10*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3-2*X[3]^6]|[1,22]
22.3-[1,2]|22|2|[5*X[1]^6-11*X[1]^5*X[3]+25*X[1]^4*X[3]^2-26*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+25*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-11*X[1]*X[3]^5+X[2]^2+5*X[3]^6]|[1,2]
22.3-[1,6]|22|2|[11*X[1]^5*X[3]-18*X[1]^4*X[3]^2+41*X[1]^3*X[3]^3-18*X[1]^2*X[3]^4+11*X[1]*X[3]^5+X[2]^2]|[1,6]
22.3-[1]|22|3|[-27*X[1]^8-308*X[1]^6-2146*X[1]^4-308*X[1]^2-X[2]^2-27]|[1]
22.5-[1,110]|22|0|[X[2]^2-X[1]*X[3]]|[1,110]
22.5-[1,11]|22|2|[-5*X[1]^6-15*X[1]^5*X[3]-10*X[1]^4*X[3]^2+5*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+2*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-3*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+3*X[3]^6]|[1,11]
22.5-[1,2]|22|2|[X[1]^6+X[1]^5*X[3]+7*X[1]^4*X[3]^2+3*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+7*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2+X[1]*X[3]^5+X[2]^2+X[3]^6]|[1,2]
22.5-[1,5]|22|2|[11*X[1]^6-33*X[1]^5*X[3]+78*X[1]^4*X[3]^2-100*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+107*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-61*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+29*X[3]^6]|[1,5]
